feature,rmse,nb_zeros,nunique
0c9462c08,0.7999797442011247,3747,323
b452ba57e,0.7999828333696459,4199,97
e62c5ac64,0.7999850388820352,4094,181
fec5eaf1a,0.7999896974793702,3720,364
44f2f419e,0.7999898671580816,4319,107
addb3f3eb,0.7999941154894732,4321,70
d3fbad629,0.800007098439045,4039,182
9fa38def3,0.8000125938184528,3903,216
956d228b9,0.8000165019085873,3770,229
32cab3140,0.8000210023260743,4281,116
93521d470,0.8000273889250846,4105,136
e13b0c0aa,0.8000304924703004,3877,269
a6f5de07f,0.8000342987748302,4410,32
b10f15193,0.8000372903519365,3975,246
1d9078f84,0.8000389252268523,3851,443
31f72667c,0.8000430125916279,3945,240
d251ee3b4,0.8000431307069675,4127,171
23db7d793,0.8000478523329368,3769,289
24b2da056,0.8000546423498397,4131,239
7aaefdfd7,0.8000548067262265,4300,112
2a3c59733,0.8000555662581874,4367,61
ddea5dc65,0.800058681006329,4134,178
a0b0a7dbf,0.8000658540522184,4339,85
6dd2090e5,0.8000667279244014,4421,33
bec7c48dd,0.8000670996328909,4350,71
e431708ff,0.8000682269199205,4147,182
d7f15a3ad,0.8000716131104861,4267,83
8389fa5f0,0.8000736834690745,4422,24
a38ea1ca7,0.800080912022914,4379,51
90a438099,0.8000843209236816,4357,90
75b663d7d,0.8000857087550775,4125,253
7ad6b38bd,0.8000877957120668,4357,91
a00adf70e,0.8000889240804032,3729,371
a15b2f707,0.8000894242351895,4310,76
2b2b5187e,0.8000906610986934,4030,162
5d3b81ef8,0.8000917382609236,3654,354
dff08f7d5,0.8000934307631921,4368,67
f3bfa96d5,0.8000954633372872,4328,87
b6c0969a2,0.8000968447569996,3735,271
aecd09bf5,0.8000976280678852,4276,129
a5e0d3ddb,0.8000981148211782,4354,72
964cd68bc,0.8001019467676486,4379,58
c9c6b51aa,0.8001027139691923,4420,27
3fa0b1c53,0.8001036138814803,4294,105
e9a8d043d,0.8001139018113022,3991,194
1c6c0ffb1,0.8001157869102918,4241,118
f99a09543,0.8001234005069529,4104,145
e9f588de5,0.8001265733860644,4238,111
ce8ce671e,0.8001328494416394,3887,193
d51d10e38,0.8001333096000629,4294,106
f1c272f04,0.8001368439451161,4259,106
d04e16aed,0.8001371981122676,4160,146
20305585c,0.8001374996274021,3893,185
6eefca12e,0.8001406580670147,4364,70
42ed6824a,0.8001466529426609,4288,94
9dbb6b717,0.8001489223190352,4196,100
fa05fd36e,0.8001490998398717,4269,146
2f92a1a45,0.800150184921049,4359,60
0e1f6696a,0.8001544045790311,4126,198
759c9e85d,0.8001551113812819,4253,127
988518e2d,0.8001594418817358,4281,81
05c9b6799,0.8001598055062725,4115,236
ca67f1baa,0.8001622856744595,4437,23
9a07d7b1f,0.8001622991555487,3733,283
c108dbb04,0.8001707822291284,4332,82
34a4338bc,0.8001713165646867,4160,149
de14e7687,0.8001752171560225,3996,256
c4de134af,0.8001766179169105,4160,158
3690f6c26,0.8001973658756028,4073,212
be2e15279,0.8001990787095403,4060,165
d7447b2c5,0.8001991932025896,4268,84
47aab5d12,0.8001995867281283,4417,28
2ca23426b,0.800201123977375,4360,68
169f6dda5,0.8002072766944164,4203,141
0bb06f4b5,0.8002091064690637,4404,31
28f75e1a5,0.8002098012997221,4151,196
a1a0084e3,0.8002111992225355,4078,193
1f8415d03,0.80021148671757,4279,84
699712087,0.8002122627679304,4126,150
6619d81fc,0.8002149709672463,2926,564
74c5d55dc,0.8002157671162742,4171,171
c69492ae6,0.8002210509938429,4348,72
ec4dc7883,0.80022944974749,3922,224
35c5fe0ff,0.8002444053368009,4377,49
0f7ae26ce,0.8002449583373219,4188,105
adf357c9b,0.8002458228341658,4130,142
4416cd92c,0.8002464065502076,4172,165
945dad481,0.8002476232597898,4347,74
90db65912,0.8002485645089629,4415,33
d421e03fd,0.8002494828532407,4164,155
dc07f7e11,0.8002509154186234,4178,129
d2ef684ed,0.8002562590625073,4183,96
2684a37d2,0.8002567934886087,4372,65
b1bb8eac3,0.8002568910404253,3959,230
b7950e538,0.8002572335108188,4308,70
ffb34b926,0.8002584688659831,4287,91
bf042d928,0.8002588423670423,3868,200
e4e9c8cc6,0.8002603773094416,4266,100
ae1bd05ee,0.8002638125525596,4403,33
c73c31769,0.8002709918527773,4319,112
98d90a1d1,0.8002774021710808,4299,97
51d4053c7,0.8002778617729236,3678,327
555f18bd3,0.8002780587505587,4135,203
b719c867c,0.8002807523631178,4058,191
95aea9233,0.80028997014636,4103,189
e20edfcb8,0.8002908769229193,4311,122
f14b57b8f,0.8003003371554469,4106,202
a2aa0e4e9,0.8003023926610688,4324,114
7f91dc936,0.8003064340347636,4294,87
39abf0d03,0.8003074684688232,4371,59
88219c257,0.8003112913833821,4135,157
e5587ec32,0.8003130012703772,4367,57
a8b6710d0,0.8003270154411424,4220,92
63f968fa6,0.8003302462942139,4357,69
ba852cc7a,0.8003416132715532,4142,190
796c218e8,0.8003433370403471,3890,262
1938873fd,0.8003478354151718,4298,86
7e3e026f8,0.8003492016079331,4255,99
4e8196700,0.8003518567316934,4331,76
a029667de,0.8003619095986482,4139,215
74d7998d4,0.8003662595445866,3847,377
a89ab46bb,0.800366462866478,4330,84
c5aa7c575,0.8003698084086762,4124,164
45cda25bb,0.800371485351686,4415,20
f45dd927f,0.8003717888213738,4314,90
2191d0a24,0.8003727433842701,4134,230
